HID,lon,lat,species,sid,family,category,presence,fraction,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elevation,annualpet,aridityindexthornthwaite,climaticmoistureindex,embergerq,maxtempcoldest,petseasonality,tri,topowet,nontree,bare,tree,etccdi_cdd,etccdi_cwd,etccdi_fd,etccdi_gsl,etccdi_rx1day,etccdi_rx5day,etccdi_sdii,igbp_01,igbp_02,igbp_03,igbp_04,igbp_05,igbp_06,igbp_07,igbp_08,igbp_09,igbp_10,igbp_11,igbp_12,igbp_13,igbp_14,igbp_15,igbp_16
70946,75.59989,39.955935,Alces alces,56003281,Cervidae,LC,0,0,4.950378,12.253321,34.012426,892.324026,22.471971,-13.624453,36.096423,156.722619,27.222439,2.129549,67.657876,73.302853,8.775874,71.560356,9.994261,2618.753442,832.872781,79.237985,-0.786366,14.352374,-91.895915,5342.58798,82.405871,8.910873,33.315207,64.89959,1.785203,85.400938,7.808924,204.019559,154.18877,16.558963,38.71619,3.912371,0,0,0,0,0,0,0.000745,0,0,0.407107,0,0,0.000414,0,0,0.591734
71027,75.786621,39.493023,Alces alces,56003281,Cervidae,LC,0,0,11.109912,13.744662,31.964731,1051.323685,30.693706,-12.307097,43.000803,104.822878,17.713731,1.972925,56.065165,41.457486,7.72679,41.060382,9.778708,1533.428055,1111.944759,91.806198,-0.918257,7.308635,-14.696317,6170.136448,24.658953,11.243555,36.38211,62.063305,1.554584,105.147799,7.302295,202.823435,155.002874,15.807139,36.845603,3.887378,0,0,0,0,0,0,0.003563,0,0,0.170768,0,0.280802,0.016489,0,8.3e-05,0.528296
71187,75.873103,37.666063,Alces alces,56003281,Cervidae,LC,0,0,-0.128261,12.214472,35.254276,841.462968,17.144708,-17.448953,34.593661,63.827066,15.638402,0.277701,81.478559,33.817009,2.234279,33.812806,3.828615,3770.535064,672.192465,91.671873,-0.911772,4.921748,-126.679199,4656.107229,211.822398,7.325597,35.137798,62.448994,2.413208,66.724942,9.502674,240.424835,108.700096,22.905216,54.781537,5.019328,0,0,0,0,0,0,0.000994,0,0.000166,0.429341,0,0,0,0,0,0.5695
71107,75.965658,39.029255,Alces alces,56003281,Cervidae,LC,0,0,11.535661,14.442105,32.736746,1067.845538,31.506891,-12.589152,44.096044,75.679617,15.064191,1.056158,64.184426,33.129794,4.245358,32.334374,5.697827,1495.962877,1157.977357,94.439886,-0.944228,5.173214,-3.478576,6281.934219,19.143838,11.456642,42.44014,55.320585,2.239276,110.410003,7.189156,204.868786,151.902357,15.857155,36.941201,3.951427,0,0,0,0,0,0,0.001574,0,0,0.202949,0,0.321736,0.003893,0,0.000746,0.469019
71348,76.158036,36.734942,Alces alces,56003281,Cervidae,LC,0,0,-3.657941,11.40864,33.399476,842.784969,13.939226,-20.047484,33.986711,72.03194,15.279009,0.680206,68.44893,34.710252,5.439403,34.57485,8.104195,4364.33044,595.03656,90.089938,-0.886621,5.460597,-147.497984,4309.158044,224.185658,7.266122,30.110881,68.582529,1.30659,68.528869,10.481923,243.643035,106.545542,23.400924,56.1659,5.039845,0,0,0,0,0,0,0.000663,0,0,0.048625,0,0,0,0,0.057406,0.893307
71349,76.452069,37.633958,Alces alces,56003281,Cervidae,LC,0,0,5.222075,13.095114,35.347391,891.903497,22.821184,-14.267337,37.088521,42.246307,12.231704,0.004735,86.702819,24.674003,0.32496,24.665608,1.355633,2950.143276,867.126663,94.972181,-0.9497,3.521658,-78.408105,5336.831576,188.378026,7.651844,36.722105,59.898629,3.379266,98.750447,8.17819,223.768584,130.781909,18.859152,44.678507,4.472652,0,0,0,0,0,0,0.01533,0,0.006381,0.555519,0,0,0,0,0,0.422771
71430,76.595498,37.168029,Alces alces,56003281,Cervidae,LC,0,0,1.98949,12.727274,36.022505,839.910746,19.144289,-16.099209,35.243498,44.853753,12.027905,0.102049,79.549457,25.024658,1.536881,24.999495,2.908368,3494.124044,785.131602,94.246971,-0.940119,3.65534,-99.847784,5041.928619,193.437012,7.465334,36.800563,59.72792,3.471516,98.427481,8.951066,233.33919,121.14309,18.552888,44.354922,4.440245,0,0,0,0,0,0,0.011017,0,0.006213,0.639579,0,0.000994,0,0,0.003479,0.338718
71190,76.622752,40.353448,Alces alces,56003281,Cervidae,LC,0,0,2.0748,12.155584,33.29726,912.501026,20.099187,-16.5119,36.611087,166.639957,29.554198,2.349403,74.294997,85.171271,7.628668,83.299397,9.894772,2940.931752,749.512042,75.857714,-0.746983,14.570313,-113.56067,5009.935347,94.373626,8.67796,33.435068,64.16424,2.400692,124.948133,6.510866,184.431389,175.712961,14.397547,32.393391,3.642855,0,0,0,0,0,0,0,0,0,0.437867,0,0.001076,0.000166,0,0,0.560891
71350,76.724612,38.53093,Alces alces,56003281,Cervidae,LC,0,0,12.534257,16.439083,33.988999,1145.976546,35.056246,-13.299313,48.355558,44.301406,10.418018,0.301657,69.021891,21.910075,2.044281,21.766599,3.195705,1437.131269,1190.098365,96.084366,-0.95995,3.710741,0.177063,6410.580277,20.623191,11.900737,21.175976,78.513478,0.310546,118.488424,7.552456,211.861591,144.361094,17.16835,40.371476,4.185741,0,0,0,0,0,0,0.001823,0,0,0.08218,0,0.009858,0.000746,0,0,0.905393
71271,76.806079,39.889744,Alces alces,56003281,Cervidae,LC,0,0,11.050368,14.175712,31.392332,1108.931819,31.793422,-13.342513,45.135935,87.05881,14.503072,1.768754,57.372174,38.009759,6.096513,37.171245,7.869391,1465.123257,1102.760528,91.511578,-0.915451,7.389961,-19.399168,6201.517431,30.231597,11.474208,29.78441,69.441474,0.774117,149.044173,5.656761,179.33547,182.084724,12.842443,28.260945,3.466695,0,0,0,0,0,0,0.000994,0,0,0.209724,0,0.041829,0.00116,0,0,0.746293
71591,76.850299,36.236142,Alces alces,56003281,Cervidae,LC,0,0,-7.79111,11.273844,31.347725,903.93903,10.957599,-24.857321,35.81492,72.939093,18.190861,0.655491,81.198652,42.055221,5.458784,41.861234,6.539254,4913.715056,508.993141,88.654896,-0.868984,5.551738,-170.399134,3961.346959,222.14644,7.265428,26.301794,71.953146,1.74506,68.221768,12.96439,246.145322,104.31522,25.249533,62.7132,5.287875,0,0,0,0,0,0,8.3e-05,0,0,0.000662,0,0,0,0,0.111773,0.887316
71431,76.882149,38.06521,Alces alces,56003281,Cervidae,LC,0,0,11.892116,16.027184,34.952592,1072.888174,33.066082,-12.768837,45.834919,37.042343,9.129179,0.055449,69.117767,18.781071,1.542866,18.781071,2.593473,1621.792864,1169.50007,96.466344,-0.965405,3.315953,-5.037983,6324.952512,22.050124,11.08597,28.811448,70.480358,0.708194,110.347005,7.469643,212.181335,144.826041,17.689223,41.038534,4.30122,0,0,0,0,0,0,0.003233,0,0,0.123094,0,0.073939,0.001243,0,8.3e-05,0.798408
71592,77.169833,37.132745,Alces alces,56003281,Cervidae,LC,0,0,5.341363,14.233057,36.88769,901.948982,23.630431,-14.963562,38.593993,31.125784,9.119886,0,77.997447,18.501553,0.629532,18.501553,2.146992,3032.533995,899.34372,95.837547,-0.957483,3.042323,-72.068461,5433.117919,138.14383,8.093581,38.163729,59.183031,2.65324,100.886955,8.031966,219.920174,138.29198,17.749017,40.841306,4.369756,0,0,0,0,0,0,0.007206,0,0.002236,0.649797,0,0,0,0,0,0.34076
71673,77.298753,36.666378,Alces alces,56003281,Cervidae,LC,0,0,-5.413394,11.290381,33.364668,842.538773,12.092755,-21.624315,33.717071,58.422742,17.150955,0.222132,93.061735,38.032134,2.583648,37.79267,3.309883,4614.328347,569.886369,90.92977,-0.901308,4.522279,-155.459562,4247.281476,210.398357,7.282612,30.170756,68.426705,1.402539,100.670464,9.349035,233.267039,121.911926,18.088453,43.490754,4.364264,0,0,0,0,0,0,0,0,0,0.119927,0,0,0,0,0.073629,0.806444
71513,77.312244,38.494287,Alces alces,56003281,Cervidae,LC,0,0,12.579613,15.194098,32.803507,1127.438332,33.479022,-12.773719,46.25274,40.710118,8.17565,0.206671,60.362701,18.581959,2.206671,18.581959,3.512263,1214.121882,1232.867382,96.337752,-0.961513,3.563501,7.220379,6587.40667,1.645113,13.741399,52.281156,44.904827,2.814017,127.270679,6.891949,205.796591,152.190782,16.130901,36.838507,3.981386,0,0,0,0,0,0,0.000829,0,0,0.272351,0.000414,0.603613,0.013009,0,0,0.107383
71433,77.40833,39.852175,Alces alces,56003281,Cervidae,LC,0,0,10.679249,14.035002,31.257833,1109.122714,31.344827,-13.519589,44.864415,73.549996,12.847324,1.098563,63.757905,35.057251,3.967402,34.860228,5.487388,1514.567142,1099.875179,92.124463,-0.921356,6.80579,-18.991899,6184.968622,38.108464,11.37543,37.788443,61.366318,0.845238,196.154216,3.930077,162.827473,199.968557,9.402136,19.050487,3.020393,0,0,0,0,0,0,0.000166,0,0,0.226015,0,0.053024,0.00116,0,0,0.710439
71754,77.416784,36.200229,Alces alces,56003281,Cervidae,LC,0,0,-8.840887,12.314305,32.898442,925.27518,10.678624,-26.704181,37.382805,72.249127,21.416871,0.247081,101.265387,48.530003,3.152429,48.491798,3.455489,5113.669604,482.669087,88.761693,-0.874798,5.301652,-175.359692,3867.335096,141.095338,8.026302,27.967263,70.795751,1.236986,71.251902,13.018798,246.554014,104.603808,24.060603,59.940739,5.140269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017071,0.982929
