HID,lon,lat,species,sid,family,category,presence,fraction,bio02,bio15,bio19,elevation,aridityindexthornthwaite,maxtempcoldest,tri,topowet,nontree,etccdi_cwd,landcover_igbp
71596,78.269506,40.699301,Ovis ammon,15733,Bovidae,NT,1,0.737231,12.383877,85.062713,4.761865,2586.861433,78.834907,-72.133736,91.035494,8.71575,37.12923,4.809552,10
71672,76.960048,35.770722,Ovis ammon,15733,Bovidae,NT,1,0.048636,10.224425,85.604442,9.543372,5440.357062,84.272505,-191.038184,192.865146,7.529798,23.035185,14.867981,16
71673,77.298753,36.666378,Ovis ammon,15733,Bovidae,NT,0,0,11.290381,93.061735,3.309883,4614.328347,90.92977,-155.459562,210.398357,7.282612,30.170756,9.349035,16
71674,77.609119,37.561463,Ovis ammon,15733,Bovidae,NT,0,0,17.240948,61.853664,2.956277,1758.708117,96.581373,-7.597969,25.107176,10.751202,21.682914,5.530413,16
71675,77.899446,38.454809,Ovis ammon,15733,Bovidae,NT,0,0,17.557958,60.612983,3.016312,1204.284199,96.446803,8.011903,1.322328,13.911149,7.131907,5.892807,16
71676,78.175967,39.345775,Ovis ammon,15733,Bovidae,NT,0,0,15.835852,62.861898,3.581756,1141.328259,95.95199,5.049709,1.129108,14.976709,34.658071,4.321829,16
71677,78.443463,40.234044,Ovis ammon,15733,Bovidae,NT,0,0,13.217738,76.049106,3.854104,1724.783776,90.158229,-21.996737,57.947183,9.759455,36.954889,4.319779,16
71678,78.705681,41.119491,Ovis ammon,15733,Bovidae,NT,1,1,12.073693,81.366159,7.789511,2513.719385,74.19859,-68.189157,100.683798,8.653145,34.761079,5.284571,16
71754,77.416784,36.200229,Ovis ammon,15733,Bovidae,NT,0,0,12.314305,101.265387,3.455489,5113.669604,88.761693,-175.359692,141.095338,8.026302,27.967263,13.018798,16
71755,77.743901,37.094735,Ovis ammon,15733,Bovidae,NT,0,0,14.116338,82.455669,1.332259,3053.916881,95.777753,-72.456525,152.053858,8.023158,36.634871,7.312759,16
71756,78.047568,37.988071,Ovis ammon,15733,Bovidae,NT,0,0,17.926545,58.033713,3,1287.637652,96.418161,9.499554,2.68798,13.405819,3.427459,6.729393,16
71757,78.334824,38.879362,Ovis ammon,15733,Bovidae,NT,0,0,17.088367,64.9766,3.024481,1174.575027,96.507161,6.125766,3.162363,14.678507,11.185305,4.403732,16
71758,78.611032,39.768139,Ovis ammon,15733,Bovidae,NT,0,0,14.776714,64.560115,3.919475,1122.743555,95.711334,4.999832,6.245226,14.192549,35.254626,4.164038,16
71759,78.880367,40.654182,Ovis ammon,15733,Bovidae,NT,1,0.097135,12.672855,79.958758,4.45702,1920.643405,85.787373,-31.836409,66.961199,9.522963,37.42179,4.636522,16
71760,79.14615,41.53742,Ovis ammon,15733,Bovidae,NT,1,1,11.739071,77.744537,12.372051,2729.015096,64.548272,-90.004176,133.640297,8.332024,33.477979,6.049322,16
71834,77.523115,35.73458,Ovis ammon,15733,Bovidae,NT,1,0.433224,11.600753,105.323815,5.362524,5406.894225,86.058192,-182.622307,128.995287,8.068484,25.722138,16.165778,16
71835,77.868779,36.628052,Ovis ammon,15733,Bovidae,NT,0,0,11.062984,105.348731,2.104105,4764.63511,90.226793,-159.535374,207.013394,7.347948,28.92787,8.651097,16
71836,78.187153,37.521079,Ovis ammon,15733,Bovidae,NT,0,0,17.310031,56.929859,3.042563,1579.173374,96.342851,0.874355,12.647532,11.601074,21.998322,6.904752,16
71837,78.486196,38.412501,Ovis ammon,15733,Bovidae,NT,0,0,17.558752,64.072577,3,1221.680829,96.615109,7.48084,3.752329,14.034829,3.640229,5.689152,16
71838,78.771936,39.301664,Ovis ammon,15733,Bovidae,NT,0,0,16.576929,69.347943,2.961389,1130.749653,96.499291,6.290042,5.209535,14.260061,7.823497,4.152842,16
71839,79.049032,40.188226,Ovis ammon,15733,Bovidae,NT,0,0,14.435866,69.319562,3.970117,1184.779234,94.335594,3.669747,23.768178,12.514493,28.258163,3.689993,16
71840,79.321161,41.07204,Ovis ammon,15733,Bovidae,NT,1,0.582186,12.434738,78.39172,6.844921,1928.51447,83.550881,-36.995306,66.226334,9.672475,40.790603,5.081986,10
71844,80.412481,44.580075,Ovis ammon,15733,Bovidae,NT,1,1,10.473466,48.723071,56.925321,2728.635329,28.60793,-150.113355,153.084772,7.681642,48.534006,5.957462,10
71916,77.983067,36.161648,Ovis ammon,15733,Bovidae,NT,0,0,12.572192,112.790049,2.155054,4974.237627,89.837203,-162.01243,134.622168,8.168583,25.198157,12.803375,16
71917,78.317675,37.054001,Ovis ammon,15733,Bovidae,NT,0,0,14.454175,78.346934,1.644345,2757.134745,96.135493,-54.984612,128.503535,8.490505,32.896434,7.661345,16
71918,78.62968,37.945313,Ovis ammon,15733,Bovidae,NT,0,0,17.958259,61.119561,3.004451,1278.887556,96.574882,9.267819,2.114314,13.297515,4.22661,5.879326,16
71919,78.925865,38.834706,Ovis ammon,15733,Bovidae,NT,0,0,17.024577,68.345417,2.981999,1185.458335,96.863429,5.880104,9.333053,13.682142,4.375502,4.159384,16
71920,79.211436,39.721689,Ovis ammon,15733,Bovidae,NT,0,0,15.362521,71.834312,2.903793,1100.271458,96.242323,7.193672,4.78437,14.347464,29.873489,3.408481,16
71921,79.490477,40.60602,Ovis ammon,15733,Bovidae,NT,0,0,13.707426,74.739487,4.132175,1328.172171,92.439652,-4.890137,25.437923,11.128217,36.769645,4.24814,16
71922,79.766258,41.487604,Ovis ammon,15733,Bovidae,NT,1,1,14.058591,70.79906,10.41609,1674.671724,82.171104,-31.85452,40.376549,10.769506,32.928135,5.947042,16
71925,80.5988,44.116092,Ovis ammon,15733,Bovidae,NT,1,0.785816,13.427387,29.945988,43.836836,712.230933,79.253718,-27.175252,11.781431,11.660395,61.335008,6.019725,10
71926,80.884572,44.987087,Ovis ammon,15733,Bovidae,NT,1,0.877285,11.782635,44.609062,54.851275,2351.859644,37.519138,-143.317482,111.257491,8.343915,47.562,5.779582,10
71996,78.236263,34.76827,Ovis ammon,15733,Bovidae,NT,1,0.446933,10.922544,106.216821,6.302596,5344.06519,85.527181,-153.896022,215.963932,7.357613,24.542264,18.046921,16
71997,78.085995,35.695793,Ovis ammon,15733,Bovidae,NT,1,0.667771,12.728622,118.572364,2.519761,5291.619572,88.189524,-169.95744,74.865649,9.123235,28.790554,15.536534,16
71998,78.438548,36.587032,Ovis ammon,15733,Bovidae,NT,0,0,11.711643,105.908339,1.078886,4367.03059,92.728236,-132.96901,239.594305,7.129308,31.146016,9.256525,16
71999,78.764825,37.477941,Ovis ammon,15733,Bovidae,NT,0,0,17.767281,58.021062,3.229268,1386.39263,96.627839,9.18849,4.765917,11.986109,11.346018,6.157214,16
72000,79.072469,38.367368,Ovis ammon,15733,Bovidae,NT,0,0,17.399181,66.094963,3,1225.229389,97.023149,6.923385,7.095554,14.079287,3.913327,5.426696,16
72001,79.367311,39.254647,Ovis ammon,15733,Bovidae,NT,0,0,16.660114,71.243068,2.909224,1133.476585,96.817503,6.514998,3.871812,14.441409,4.187126,3.864719,16
72002,79.653892,40.139417,Ovis ammon,15733,Bovidae,NT,0,0,15.761174,73.936928,2.946587,1066.922141,95.942186,7.610339,0.748141,14.968205,21.533859,2.846904,16
72003,79.935823,41.021505,Ovis ammon,15733,Bovidae,NT,1,0.034795,14.043739,74.721066,5.512885,1258.954983,92.565822,-5.934753,13.30606,12.146241,38.066349,4.934442,16
72004,80.216037,41.900857,Ovis ammon,15733,Bovidae,NT,1,1,8.873391,84.778646,14.663446,4138.091611,29.701608,-182.790056,233.211271,7.1636,30.687182,6.357171,16
72005,80.496973,42.777491,Ovis ammon,15733,Bovidae,NT,1,0.825127,11.428335,55.165221,31.378924,2045.696853,53.718589,-78.752114,55.117598,10.120815,68.804108,7.057122,10
72006,80.780708,43.651464,Ovis ammon,15733,Bovidae,NT,1,0.806237,12.611216,33.570331,41.880675,986.492303,71.978667,-35.948273,27.087785,10.588466,61.638879,5.741726,10
72007,81.069054,44.522856,Ovis ammon,15733,Bovidae,NT,1,1,10.204342,45.934855,48.261633,2091.524024,43.218545,-124.165466,82.20381,8.976037,66.188994,5.778817,10
72073,78.805581,31.534574,Ovis ammon,15733,Bovidae,NT,1,0.572314,11.409117,77.51433,135.446707,4767.31437,43.424602,-61.555975,217.687066,7.347244,29.060456,31.512619,16
72074,78.747452,32.447337,Ovis ammon,15733,Bovidae,NT,1,1,11.860647,82.293119,40.103543,5035.226806,58.926838,-90.426067,160.417794,7.815883,28.188433,27.311976,16
72077,78.446168,35.211108,Ovis ammon,15733,Bovidae,NT,1,1,12.4633,121.107062,3.582351,5530.397866,86.197252,-171.185782,98.238575,8.598616,29.296745,17.411645,16
72078,78.549119,36.120398,Ovis ammon,15733,Bovidae,NT,0,0,12.290141,120.140683,1.189704,4997.026535,90.038589,-158.065055,130.761479,8.202045,24.864076,14.36669,16
72079,78.891129,37.010546,Ovis ammon,15733,Bovidae,NT,0,0,15.048365,76.294462,1.878629,2365.984621,96.587391,-34.193569,97.201541,8.92111,27.050614,8.133723,16
72080,79.211362,37.89977,Ovis ammon,15733,Bovidae,NT,0,0,17.659953,64.351737,3,1262.947784,97.034279,8.520546,3.554741,14.237348,4.043593,5.4553,16
72081,79.516358,38.787188,Ovis ammon,15733,Bovidae,NT,0,0,17.333803,68.27117,2.951666,1189.136949,97.168704,5.387259,6.19566,13.882474,2.796923,4.712077,16
72082,79.811176,39.672296,Ovis ammon,15733,Bovidae,NT,0,0,16.443194,76.50425,2.389058,1097.578476,96.697552,6.640091,3.457717,14.326589,7.085514,2.83456,16
72083,80.09981,40.554827,Ovis ammon,15733,Bovidae,NT,0,0,14.723194,73.95273,3.170058,1047.671772,95.711915,5.224299,0.839339,14.598518,40.628048,3.165377,12
72084,80.385481,41.434664,Ovis ammon,15733,Bovidae,NT,1,0.466967,13.940747,73.973322,7.627155,1458.507914,88.110608,-23.735905,23.296514,10.639456,39.688814,5.033295,16
72085,80.670844,42.311782,Ovis ammon,15733,Bovidae,NT,1,1,9.07266,82.595796,17.906457,3896.290401,27.435728,-174.598103,263.484875,6.966314,31.033551,6.637168,16
